id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lat,lon,direccion,barrio,ciudad,codigo_postal,tipo_lugar
152,castillo de banyeres (museo festero),1.0,1.0,0.0,1.0,0.0,1.0,38.71571340000002,-0.6573839000000039,carrer del castell,desconocido,desconocido,03450,theatre
153,catral joven,0.0,0.0,0.0,0.0,0.0,0.0,38.16142699999998,-0.804689000000004,calle oscar espla,desconocido,desconocido,03158,police
154,ceip azorin,0.0,1.0,0.0,0.0,0.0,1.0,38.16125100000004,-0.8028360000000052,calle azorin,desconocido,desconocido,03158,school
155,ceip balcon de finestrat,0.0,0.0,0.0,0.0,1.0,0.0,38.548650000000045,-0.2010219999999987,avinguda del cami de l'alfas,desconocido,desconocido,03509,school
156,ceip cristobal colon,1.0,1.0,0.0,0.0,0.0,1.0,38.54273699999997,-0.5013059999999958,carrer de manuel galiana uriarte,barri de l'almarx,desconocido,03100,school
157,ceip eloi coloma,1.0,1.0,0.0,0.0,0.0,1.0,38.54219100000003,-0.5062510000000007,carrer de joan andres,barri de l'almarx,desconocido,03100,school
158,ceip juan carlos,0.0,0.0,0.0,0.0,0.0,0.0,38.08535599999996,-0.7445170000000008,calle concepcion mingot,desconocido,desconocido,03179,school
159,ceip la rambla,0.0,0.0,0.0,0.0,1.0,0.0,38.43819800000001,-0.635753999999999,carrer de la concepcion,desconocido,desconocido,03698,school
160,ceip paternina,0.0,0.0,0.0,0.0,1.0,0.0,38.64286129999999,0.0390772000000021,avinguda masnou,la manzanera,calp,03710,school
161,ceip puig campana,1.0,0.0,0.0,0.0,0.0,1.0,38.56903700000005,-0.2124809999999963,avinguda cami de reis,desconocido,desconocido,desconocido,secondary
162,ceip sagrada familia,0.0,0.0,0.0,0.0,0.0,0.0,38.53077900000004,-0.5066200000000014,avinguda de joan fuster,desconocido,desconocido,03100,school
163,ceip virgen de belen,0.0,1.0,0.0,0.0,0.0,1.0,38.06234500000005,-0.8696399999999939,calle mayor,desconocido,desconocido,03310,school
164,centre cult. a. vella,0.0,0.0,1.0,0.0,1.0,0.0,38.62866149999998,-0.0422976999999966,carrer carretera de callosa,desconocido,altea,03599,secondary
165,centre juvenil,0.0,0.0,0.0,0.0,0.0,0.0,38.56874399999997,-0.210511000000006,cv-761,desconocido,desconocido,desconocido,terrace
166,centre social,0.0,0.0,1.0,0.0,0.0,0.0,38.78053200000002,-0.5167029999999955,carrer sant antoni,desconocido,desconocido,03837,pharmacy
167,centre social 3a edat,0.0,1.0,0.0,0.0,1.0,1.0,38.602525000000014,-0.0481496999999941,carrer marina baixa,desconocido,altea,03590,bicycle_rental
168,centro atencion temprana,0.0,0.0,1.0,0.0,0.0,0.0,38.109361999999976,-0.7950249999999993,calle santo cristo,centro,almoradi,03160,residential
169,centro civico,0.0,0.0,1.0,0.0,0.0,0.0,38.11307699999998,-0.7176670000000015,lepanto,desconocido,desconocido,03078,community_centre
