nombre,accesibilidad_total,e4_servicios_higienicos,lat,lon,direccion,barrio,ciudad,codigo_postal,tipo_lugar
carrer del periodista francisco bas mingot / calle periodista francisco bas mingot,4,0,38.3747235,-0.4797889,carrer del periodista francisco bas mingot / calle periodista francisco bas mingot,joan xxiii,alacant / alicante,03014,footway
carrer salvador allende / calle salvador allende,4,0,38.3766195,-0.4788499,carrer salvador allende / calle salvador allende,joan xxiii,alacant / alicante,03014,footway
carrer de vicente alexandre / calle vicente alexandre,4,0,38.3696489,-0.4923918,carrer de vicente alexandre / calle vicente alexandre,benissaudet,alacant / alicante,03112,footway
carrer del canonge giner / calle canonigo giner,4,0,38.3732927,-0.4872887,carrer del canonge giner / calle canonigo giner,verge del remei,alacant / alicante,03112,house
carrer de benejusser / calle benejuzar,4,0,38.3693093,-0.4824523,avinguda dels exercits espanyols / avenida de los ejercitos espanoles,quatre-centes vivendes,alacant / alicante,03014,sports_centre
carrer del diputat juan antonio rodriguez marin / calle diputado juan antonio rodriguez marin,4,0,38.3692435,-0.4842154,carrer del diputat juan antonio rodriguez marin / calle diputado juan antonio rodriguez marin,mare de deu del carme,alacant / alicante,03014,residential
carrer del diputat antonio garcia miralles / calle diputado antonio garcia miralles,4,0,38.3688688,-0.4841132,carrer del diputat antonio garcia miralles / calle diputado antonio garcia miralles,mare de deu del carme,alacant / alicante,03014,footway
carrer agustin jimenez navarlaz / calle agustin jimenez navarlaz,4,0,38.3660088,-0.4895822,carrer d'agustin jimenez navarlaz / calle agustin jimenez navarlaz,benissaudet,alacant / alicante,03009,parking
carrer de sant pere poveda / calle san pedro poveda,4,0,38.3664069,-0.489956,carrer de sant pere poveda / calle san pedro poveda,benissaudet,alacant / alicante,03009,footway
carrer d'alcala galiano / calle alcala galiano,4,0,38.3573095,-0.4842858,carrer d'alcala galiano / calle alcala galiano,campoamor,alacant / alicante,03012,footway
carrer de la turquesa / calle turquesa,4,0,38.377256,-0.4843664,carrer de la turquesa / calle turquesa,joan xxiii,alacant / alicante,03112,footway
calle geografo rey pastor / carrer del geograf rey pastor,4,0,38.372354,-0.4859461,carrer del geograf rey pastor / calle geografo rey pastor,mare de deu del carme,alacant / alicante,03112,residential
avinguda ronda de melilla / avenida ronda de melilla,4,0,38.3736418,-0.4829173,avinguda ronda de melilla / avenida ronda de melilla,joan xxiii,alacant / alicante,03014,footway
carrer periodista francisco bas mingot / calle periodista francisco bas mingot,4,0,38.3746799,-0.4829418,carrer periodista francisco bas mingot / calle periodista francisco bas mingot,joan xxiii,alacant / alicante,03112,footway
carrer sierra montgo / calle sierra montgo,4,0,38.3716531,-0.488556,carrer sierra montgo / calle sierra montgo,verge del remei,alacant / alicante,03112,house
carrer d'alonso cano / calle alonso cano,4,0,38.3723611,-0.4825753,carrer d'alonso cano / calle alonso cano,quatre-centes vivendes,alacant / alicante,03014,footway
carrer de la verge de monserrate / calle virgen de monserrate,4,0,38.369247,-0.497593,carrer de la verge de monserrate / calle virgen de monserrate,la tombola,alacant / alicante,03011,footway
plasa de les escoles / plaza de las escuelas,4,0,38.3758024,-0.4925542,placa de les escoles / plaza de las escuelas,verge del remei,alacant / alicante,03112,footway
tourist info,4,0,38.3438616,-0.4799467,passeig del port / paseo del puerto,centre historic,alacant / alicante,03002,office
carrer de granada / calle granada,4,0,38.3733521,-0.4883593,carrer de granada / calle granada,verge del remei,alacant / alicante,03112,house
carrer del poeta pedro salinas / calle poeta pedro salinas,4,0,38.3681164,-0.4901894,carrer del poeta pedro salinas / calle poeta pedro salinas,benissaudet,alacant / alicante,03112,footway
carrer de la verge dels lliris / calle virgen de los lirios,4,0,38.3693897,-0.4981901,carrer de la verge dels lliris / calle virgen de los lirios,la tombola,alacant / alicante,03011,footway
plenergy,4,0,38.3714114,-0.4577111,calle vistahermosa provisional 10,vistahermosa norte,alacant / alicante,03016,charging_station
carrer de villa de chiva / calle villa de chiva,4,0,38.3719809,-0.4875906,carrer de villa de chiva / calle villa de chiva,verge del remei,alacant / alicante,03112,footway
avinguda de novelda / avenida de novelda,4,0,38.3696064,-0.4971488,avinguda de novelda / avenida de novelda,la tombola,alacant / alicante,03011,secondary
carrer de l'escriptor damaso alonso / calle escritor damaso alonso,4,0,38.3694077,-0.4866717,carrer de l'escriptor damaso alonso / calle escritor damaso alonso,mare de deu del carme,alacant / alicante,03014,footway
farmacia,4,0,38.360831,-0.4500242,carrer del sol naixent / calle sol naciente,albufereta,alacant / alicante,03016,pharmacy
instituto bernabeu,4,0,38.3653157,-0.4577547,carrer de fernando alfaya / calle fernando alfaya,vistahermosa,alacant / alicante,03016,clinic
carrer del diputat joaquin fuster / calle diputado joaquin fuster,4,0,38.3709035,-0.4834529,carrer del diputat joaquin fuster / calle diputado joaquin fuster,mare de deu del carme,alacant / alicante,03014,footway
carrer del diputat joaquin galant ruiz / calle diputado joaquin galant ruiz,4,0,38.3705255,-0.4835479,carrer del diputat joaquin fuster / calle diputado joaquin fuster,mare de deu del carme,alacant / alicante,03014,police
carrer de la serra de cavalls / calle sierra de cavalls,4,0,38.3701793,-0.4833589,carrer de la serra cavalls / calle sierra de cavalls,quatre-centes vivendes,alacant / alicante,03014,residential
carrer del diputat luis gamir casares / calle diputado luis gamir casares,4,0,38.3690347,-0.4846991,carrer del diputat luis gamir casares / calle diputado luis gamir casares,mare de deu del carme,alacant / alicante,03014,residential
parque del mar / parc de la mar,4,0,38.3347577,-0.4998531,desconocido,division azul,alacant / alicante,03007,residential
polideportivo justo hidalgo ruiz,4,0,38.3691401,-0.4829114,carrer del diputat joaquin galant ruiz / calle diputado joaquin galant ruiz,mare de deu del carme,alacant / alicante,03112,house
elan cabaret,2,0,38.3500069,-0.4869255,carrer capitan segarra / calle capitan segarra,nostra senyora de gracia,alacant / alicante,03004,pub
cerveceria jorge,2,0,38.3626074,-0.4897097,carrer de martin luther king / calle martin luther king,altossano,alacant / alicante,03010,bar
asador pollos la ceramica,2,0,38.3624918,-0.4896287,carrer de martin luther king / calle martin luther king,altossano,alacant / alicante,03010,fast_food
la abadia,2,0,38.3622491,-0.4894648,carrer de martin luther king / calle martin luther king,altossano,alacant / alicante,03010,pub
cafe gadea,2,0,38.3424795,-0.487882,avinguda del doctor gadea / avenida doctor gadea,nostra senyora de gracia,alacant / alicante,03003,cafe
los hermanos,2,0,38.3410613,-0.5148617,carrer de lliber / calle lliber,la florida baixa,alacant / alicante,03007,cafe
gascunyana,2,0,38.3749858,-0.4880959,carrer del farmaceutic agatangelo soler / calle farmaceutico agatangelo soler,verge del remei,alacant / alicante,03112,tertiary
bellea del foc,2,0,38.3676741,-0.4712857,carrer de la bellea del foc / calle de la bellea del foc,ciutat elegida,alacant / alicante,03015,bus_stop
ies jaime ii,2,0,38.3622816,-0.470554,carrer del doctor cristobal pardo / calle doctor cristobal pardo,el garbinet,alacant / alicante,03015,bus_stop
plaza castalla,2,0,38.3696222,-0.4711409,placa de castalla / plaza de castalla,ciutat elegida,alacant / alicante,03015,bus_stop
parque el palmeral,2,0,38.3194069,-0.5140261,avinguda d'elx / avenida de elche,desconocido,alacant / alicante,03007,bus_stop
livanti gelato di sicilia,2,0,38.3451096,-0.4826072,carrer de munoz / calle munoz,centre historic,alacant / alicante,03002,ice_cream
vivero de peces romano,2,2,38.3620046,-0.4411195,avinguda de la condomina / avenida de la condomina,albufereta,alacant / alicante,03016,archaeological_site
refugio guerra civil seneca,2,0,38.3413023,-0.490676,carrer del pintor lorenzo casanova / calle pintor lorenzo casanova,nostra senyora de gracia,alacant / alicante,03003,attraction
el mirador,2,0,38.3485199,-0.4750497,carrer de la mare de deu del socors / calle virgen del socorro,sant roc,alacant / alicante,03002,cafe
bodhigreen,2,0,38.3426215,-0.4863141,carrer de lanuza / calle lanuza,raval de sant francesc,alacant / alicante,03001,restaurant
como una estrella,2,0,38.3432547,-0.4944454,glorieta de l'estrella / glorieta de la estrella,nostra senyora de gracia,alacant / alicante,03003,artwork
treasure media,2,0,38.3478868,-0.4757336,carrer de la mare de deu del socors / calle virgen del socorro,sant roc,alacant / alicante,03002,studio
bitbase,2,0,38.3429753,-0.4882036,avinguda del doctor gadea / avenida doctor gadea,nostra senyora de gracia,alacant / alicante,03001,bureau_de_change
sabor marva,2,0,38.3482892,-0.4926235,carrer del mestre marques / calle maestro marques,nostra senyora de gracia,alacant / alicante,03003,cafe
casa susi,2,0,38.362866,-0.483442,carrer del doctor buades / calle doctor buades,les carolines altes,alacant / alicante,03012,convenience
vincent's,2,0,38.3442686,-0.4918454,carrer del general lacy / calle general lacy,nostra senyora de gracia,alacant / alicante,03003,pub
consulado britanico,2,0,38.3457204,-0.4837505,la rambla / la rambla,raval de sant francesc,alacant / alicante,03002,diplomatic
svaps,2,0,38.3460037,-0.4880084,carrer del metge pascual perez / calle medico pascual perez,nostra senyora de gracia,alacant / alicante,03001,e-cigarette
ciudad ibero romana de lucentum,2,2,38.3647421,-0.4388496,carrer de dafne / calle dafne,albufereta,alacant / alicante,03540,archaeological_site
plasa del poble gitano / plaza del pueblo gitano,2,0,38.3583524,-0.4907421,carrer alferez diaz sanchis / calle alferez diaz sanchis,campoamor,alacant / alicante,03004,steps
senda del poeta,2,0,38.3486495,-0.5783577,senda del poeta,el pla de la vallonga,alacant / alicante,03114,path
carrer d'indalecio prieto / calle indalecio prieto,2,0,38.3538357,-0.4751574,carrer d'indalecio prieto / calle indalecio prieto,santa creu,alacant / alicante,03013,yes
carrer del bariton paco latorre / calle baritono paco latorre,2,0,38.3760326,-0.4822065,carrer del bariton paco latorre / calle baritono paco latorre,colonia requena,alacant / alicante,03112,footway
carrer benifato / calle benifato,2,0,38.3734839,-0.482561,carrer benifato / calle benifato,joan xxiii,alacant / alicante,03014,footway
carrer de mariano benlliure / calle mariano benlliure,2,0,38.3779592,-0.5018755,carrer de mariano benlliure / calle mariano benlliure,villafranquesa,alacant / alicante,03011,footway
el refugio,2,0,38.3408195,-0.4907056,carrer d'italia / calle italia,raval de sant francesc,alacant / alicante,03003,bar
carrer de xativa / calle jativa,2,0,38.3791764,-0.5018791,carrer de xativa / calle jativa,villafranquesa,alacant / alicante,03011,footway
carrer de bolulla / calle bolulla,2,0,38.3770982,-0.50069,carrer de bolulla / calle bolulla,villafranquesa,alacant / alicante,03011,footway
carrer de camoens / calle camoens,2,0,38.3536337,-0.475029,carrer de camoens / calle camoens,santa creu,alacant / alicante,03013,footway
la barraca,2,0,38.5655963,-0.1672852,desconocido,desconocido,desconocido,03509,residential
bazar la rambla,3,0,38.3476243,-0.4843798,carrer del general primo de rivera / calle general primo de rivera,nostra senyora de gracia,alacant / alicante,03001,convenience
sotelo 10,3,0,38.3436028,-0.4886034,placa de calvo sotelo / plaza de calvo sotelo,nostra senyora de gracia,alacant / alicante,03001,cafe
plaza de espanya 4,3,0,38.3516599,-0.4853625,placa d'espanya / plaza de espana,raval de sant antoni,alacant / alicante,03004,bus_stop
pintor amoros,3,0,38.3706336,-0.4715152,carrer del pintor antonio amoros / calle pintor antonio amoros,ciutat elegida,alacant / alicante,03015,bus_stop
cristobal pardo,3,0,38.3629519,-0.4722109,carrer del doctor cristobal pardo / calle doctor cristobal pardo,el garbinet,alacant / alicante,03015,bus_stop
la florida,3,0,38.3416548,-0.5139434,carrer d'artur / calle arturo,la florida baixa,alacant / alicante,03007,pharmacy
el dragon escamado,3,0,38.351009,-0.4883346,carrer del taquigraf marti / calle taquigrafo marti,raval de sant antoni,alacant / alicante,03004,restaurant
estacion-salamanca,3,0,38.3440763,-0.49474,avinguda de salamanca / avenida de salamanca,nostra senyora de gracia,alacant / alicante,03003,bus_stop
plaza de espanya-panteon de quijano,3,0,38.3514,-0.4847416,placa d'espanya / plaza de espana,sant antoni,alacant / alicante,03004,bus_stop
falafelmania vegetariano oriental,3,0,38.3323606,-0.5089442,carrer de peru / calle peru,el palmeral,alacant / alicante,03007,restaurant
kontiki alicante-tabarca,3,0,38.3420311,-0.485014,passeig de l'almirall julio guillen tato / paseo del almirante julio guillen tato,raval de sant francesc,alacant / alicante,03002,ticket
aires burger bar,3,0,38.347669,-0.4850115,carrer del pintor sorolla / calle pintor sorolla,nostra senyora de gracia,alacant / alicante,03001,fast_food
camino de sabores,3,0,38.3474333,-0.4823879,carrer de sant rafael / calle san rafael,santa creu,alacant / alicante,03002,restaurant
taberna la vendimia,3,0,38.3609616,-0.4895266,carrer de llinares / calle llinares,altossano,alacant / alicante,03010,restaurant
restaurante goyo,3,0,38.34005,-0.4900517,carrer de l'arquebisbe loaces / calle arzobispo loaces,raval de sant francesc,alacant / alicante,03003,restaurant
maldita gloria!,3,0,38.348186,-0.4883157,carrer del poeta quintana / calle poeta quintana,nostra senyora de gracia,alacant / alicante,03001,cafe
europhone,3,0,38.3611214,-0.4923711,avinguda de novelda / avenida de novelda,altossano,alacant / alicante,03010,internet_cafe
universitat d'alacant / universidad de alicante (campus de sant vicent),3,0,38.3849307,-0.5141978,pinada de los cuentos,universidad,sant vicent del raspeig / san vicente del raspeig,03699,tree
polideportivo municipal stadium,3,0,38.3611393,-0.4245176,carrer del trident / calle tridente,entreplatges,alacant / alicante,03540,fitness_centre
plasa dels estels / plaza de los luceros,3,0,38.3460049,-0.490678,placa dels estels / plaza de los luceros,nostra senyora de gracia,alacant / alicante,03003,station
club deportivo montemar,3,0,38.3567191,-0.4756423,carrer de la gimnasta maisa lloret / calle gimnasta maisa lloret,el pla del bon repos,alacant / alicante,03013,pitch
facultat de farmacia - universitat miguel hernandez d'elx,3,2,38.3872224,-0.4354765,avenida don santiago ramon y cajal,la santa fac,sant joan d'alacant,03559,clinic
smile & co hostal,3,0,38.3429579,-0.4867299,carrer de rafael terol / calle rafael terol,raval de sant francesc,alacant / alicante,03001,hotel
platja d'aigua amarga,3,0,38.299863,-0.5189107,passeig del music ignacio juan barcelo / paseo musico ignacio juan barcelo,desconocido,alacant / alicante,03008,biergarten
doggy beach,3,0,38.2987065,-0.5194136,passeig del music ignacio juan barcelo / paseo musico ignacio juan barcelo,desconocido,alacant / alicante,03008,biergarten
carrer del comte pedro franqueza / calle conde pedro franqueza,3,0,38.3881722,-0.4852195,carrer del comte pedro franqueza / calle conde pedro franqueza,villafranquesa,alacant / alicante,03112,residential
avinguda dels exercits espanyols / avenida de los ejercitos espanyoles,3,0,38.3696196,-0.4826573,avinguda dels exercits espanyols / avenida de los ejercitos espanoles,quatre-centes vivendes,alacant / alicante,03112,house
carrer de la gemma / calle gema,3,0,38.3738587,-0.4861802,carrer de la gemma / calle gema,colonia requena,alacant / alicante,03112,footway
