id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lon,lat
733,centro multiusos terra marina                       ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.183928000000003,38.53997400000002
734,edif. multiusos barquillero                         ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.17314999999999267,38.537865000000025
736,museo etnologico                                      ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.21489400000000206,38.56695499999997
739,centro socio cultural los palacios                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7273069999999995,38.08954700000003
740,centro sociocultural san roque                        ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7467860000000056,38.08464500000001
741,ceip juan carlos                                      ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7445170000000011,38.085355999999955
742,edifici de l'ajuntament                               ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,0.08351199999999478,38.773423999999984
744,edifici del centre social integrat                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,0.0833639999999968,38.77309900000002
746,"edifici polivalent ""guillem agullo""                   ",accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,0.08413199999999525,38.77068299999999
751,casa consistorial                                     ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.8684810000000035,38.06272399999998
752,consultorio medico                                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.8701509999999935,38.06065100000005
755,centro cultural                                       ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,-0.8668640000000012,38.06082700000004
758,centro social de la 3a edad                           ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.30915740000000475,38.84346259999997
759,consultorio auxiliar y vivienda medico                ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.3114108000000017,38.842331099999996
760,c.e.i.p. francisco cloquell                           ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.3099853999999947,38.8436532
764,edificio de la casa consistorial (ayuntamiento)       ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.10172630000000078,38.57957100000005
766,centro cultural de la tercera edad                    ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad alta                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.09958600000000276,38.57989849999999
769,centro social albir                                   ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.07707670000000007,38.57151980000002
770,centro de formacion                                   ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.09768480000000615,38.57891779999997
810,edifici de lajuntament                               ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,0.017044000000001645,38.82825600000001
774,museo villa romana y otras dependencias               ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.06631899999999995,38.573807999999985
776,escuela                                               ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.42675139999999856,38.77289559999999
777,casa de la cultura                                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.4251001999999957,38.772100200000025
783,auditori centro social                                ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.23093499999999723,38.50991499999997
784,teatre auditori                                       ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad media                             ,accesibilidad baja                              ,-0.2308070000000028,38.51158899999998
786,casa consistorial                                     ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7439290000000052,38.02639300000002
787,consultorio medico interior                           ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.747437999999995,38.02546900000002
788,centro civico y social                                ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7431959999999952,38.02668100000004
789,centro socio cultural                                 ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7473250000000035,38.02860999999997
791,escuela infantil                                      ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7423980000000013,38.02986299999996
792,nueva escuela musica y auditorio                      ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7436739999999987,38.028843000000016
795,centro de dia para menores                            ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7663879999999991,38.383355999999964
797,centro enfermos de alzheimer                          ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7694819999999968,38.379036999999975
801,centro civico soci                                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,-0.7702470000000008,38.38098800000001
802,centro social de la estacion                          ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7750850000000052,38.40546300000001
805,polideportivo municipal - casa conserje + biblio+pisci,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7564230000000013,38.384546000000036
806,piso sdad musical sta ma magdalena                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7651380000000026,38.385832
811,centre social                                         ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,0.02143699999999979,38.82590099999999
