nombre                                                    , e1_entrada_ppal                                 , e2_itinerarios_accesibles                       , e3_zonas_atencion_publico                       , e4_servicios_higienicos                         , e5_elementos_accesibles                         , accesibilidad_total                             , lat               , lon
colegio jose maria manresa navarro                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.116188         , -0.7165460000000035
espacio multiusos comercial-cultural                      , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , 38.11557900000003 , -0.7185519999999954
escuela de musica                                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.11435400000002 , -0.7187839999999979
teatro municipal cardenal belluga                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , 38.11259999999999 , -0.7216150000000013
centro civico                                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.11307699999998 , -0.7176670000000015
"casa consistorial, centro civico y consultorio        "  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.75657900000003 , -0.27524650000000417
residencia 3a edad                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.75657320000002 , -0.2747351000000044
nuevo ayuntamiento                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.78839120000003 , 0.1643522000000019
centro social y conservat                                 , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.789518099999995, 0.1593308999999932
"biblioteca, casa de la cultura, llar 3a edat          "  , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.74223300000004 , -0.00880500000000025
museo etnologico                                          , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.742633499999975, -0.0143187000000016
ceip sagrada familia                                      , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.53077900000004 , -0.5066200000000014
casa de cultura                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.542083000000005, -0.506757000000002
