@id,@type,name,wheelchair,toilets:wheelchair,@lat,@lon
929369217,way,Carrer d'Alonso Cano / Calle Alonso Cano,yes,,38.3724628,-0.4827748
929369219,way,Carrer d'Alonso Cano / Calle Alonso Cano,yes,,38.3724634,-0.4830533
929369220,way,Carrer d'Alonso Cano / Calle Alonso Cano,yes,,38.3723675,-0.4825035
929369221,way,Carrer d'Alonso Cano / Calle Alonso Cano,limited,,38.3725206,-0.4829216
929369222,way,Carrer Benifato / Calle Benifato,limited,,38.3734089,-0.4825953
929369224,way,Carrer Benifato / Calle Benifato,limited,,38.3732775,-0.4826545
929369225,way,Carrer Benifato / Calle Benifato,limited,,38.3731246,-0.4827233
929369230,way,Carrer Benifato / Calle Benifato,no,,38.3734839,-0.4825610
942719192,way,,yes,,38.3691282,-0.4981049
942719194,way,Carrer de la Verge de Monserrate / Calle Virgen de Monserrate,yes,,38.3692470,-0.4975930
948808278,way,,yes,,38.3655761,-0.5007748
948808280,way,,yes,,38.3663755,-0.5014143
948808282,way,,yes,,38.3661965,-0.5017015
948808284,way,,yes,,38.3654334,-0.5010313
955499109,way,,yes,,38.3440208,-0.4805079
960851224,way,,yes,,38.3677274,-0.4929614
961128110,way,,yes,,38.3660673,-0.4941802
961128111,way,,yes,,38.3663205,-0.4936451
961128113,way,,yes,,38.3663471,-0.4934127
961128117,way,,yes,,38.3656312,-0.4934652
961128120,way,,yes,,38.3654962,-0.4937566
961128122,way,,yes,,38.3652859,-0.4942114
961128125,way,,yes,,38.3652984,-0.4942710
961128127,way,,yes,,38.3658441,-0.4946316
961674412,way,,designated,,38.3613616,-0.4922595
963039492,way,,yes,,38.3666932,-0.4993466
966823490,way,,no,,38.3689910,-0.4601567
966823495,way,,yes,,38.3690595,-0.4601841
975290275,way,Carrer del Farmacèutic Agatángelo Soler / Calle Farmacéutico Agatángelo Soler,yes,,38.3749873,-0.4889756
985219952,way,,yes,,38.3733214,-0.5058029
989171497,way,Plaça de les Escoles / Plaza de las Escuelas,yes,,38.3758024,-0.4925542
989734823,way,,yes,,38.3668888,-0.4986582
998222788,way,,yes,,38.3664247,-0.4986264
998222789,way,,yes,,38.3664541,-0.4985016
998222790,way,,yes,,38.3664330,-0.4985732
998222793,way,,yes,,38.3667185,-0.4993119
998222794,way,,yes,,38.3667317,-0.4992674
998222795,way,,yes,,38.3666917,-0.4993686
998222796,way,,yes,,38.3667462,-0.4992529
1014467449,way,,yes,,38.3773181,-0.5051660
1014467450,way,,yes,,38.3773088,-0.5052170
1014467451,way,,yes,,38.3773275,-0.5051181
1018276753,way,,yes,,38.3761499,-0.5078399
1018276756,way,,yes,,38.3761051,-0.5079399
