id,nombre,accesibilidat_total,e4_servicios_higienicos,lat,lon
236680916,,Accesibilidad baja,Accesibilidad baja,38.3766258,-0.4930862
300787874,,Accesibilidad baja,Accesibilidad baja,38.2853107,-0.5211504
461166321,Senda del Poeta,Accesibilidad baja,Accesibilidad baja,38.3461473,-0.588477
461166322,,Accesibilidad baja,Accesibilidad baja,38.3471001,-0.593609
532838462,,Accesibilidad baja,Accesibilidad baja,38.3661876,-0.4100409
610466337,,Accesibilidad baja,Accesibilidad baja,38.325576,-0.5125088
637820393,Carrer d'Indalecio Prieto / Calle Indalecio Prieto,Accesibilidad baja,Accesibilidad baja,38.3538357,-0.4751574
814980677,Carrer del Doctor Claramunt / Calle Doctor Claramunt,Accesibilidad baja,Accesibilidad baja,38.3750278,-0.4894616
814980678,Carrer del Doctor Claramunt / Calle Doctor Claramunt,Accesibilidad baja,Accesibilidad baja,38.3749318,-0.4894944
819051214,Carrer de l'Economista German Bernacer / Calle Economista German Bernacer,Accesibilidad baja,Accesibilidad baja,38.374898,-0.492966
825945815,,Accesibilidad baja,Accesibilidad baja,38.3749015,-0.4848345
825969080,Carrer del Bariton Paco Latorre / Calle Baritono Paco Latorre,Accesibilidad baja,Accesibilidad baja,38.3760326,-0.4822065
827582252,,Accesibilidad baja,Accesibilidad baja,38.3707036,-0.4942147
828960520,,Accesibilidad baja,Accesibilidad baja,38.3749522,-0.4951666
830377810,,Accesibilidad baja,Accesibilidad baja,38.3759883,-0.4893753
830427639,,Accesibilidad baja,Accesibilidad baja,38.376703,-0.4907991
832947707,,Accesibilidad baja,Accesibilidad baja,38.3762378,-0.4878679
833044123,Pla?a de la Cruz / Plaza de la Cruz,Accesibilidad baja,Accesibilidad baja,38.3761563,-0.4883255
833144893,Pla?a de la Cruz / Plaza de la Cruz,Accesibilidad baja,Accesibilidad baja,38.3765054,-0.4894849
839880912,,Accesibilidad baja,Accesibilidad baja,38.3792587,-0.4877626
840528107,,Accesibilidad baja,Accesibilidad baja,38.3728272,-0.4860559
840528108,,Accesibilidad baja,Accesibilidad baja,38.3726617,-0.4860617
840986161,,Accesibilidad baja,Accesibilidad baja,38.3726302,-0.4858885
842257702,,Accesibilidad baja,Accesibilidad baja,38.3763615,-0.4840526
843644038,,Accesibilidad baja,Accesibilidad baja,38.372035,-0.4875795
843644040,,Accesibilidad baja,Accesibilidad baja,38.3720939,-0.4874728
843657254,,Accesibilidad baja,Accesibilidad baja,38.3750327,-0.4952044
843657255,,Accesibilidad baja,Accesibilidad baja,38.3749999,-0.495164
843657257,,Accesibilidad baja,Accesibilidad baja,38.3749218,-0.4951596
843657258,,Accesibilidad baja,Accesibilidad baja,38.3749767,-0.4952196
843657259,,Accesibilidad baja,Accesibilidad baja,38.3750083,-0.4952237
843657266,,Accesibilidad baja,Accesibilidad baja,38.3750222,-0.4952525
844071242,,Accesibilidad baja,Accesibilidad baja,38.3750294,-0.4952474
