WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,tipo_edifi_val,uso_edifi,uso_edifi_val,proteccio,e1_entrada_ppal,e1_entrada_ppal_val,e1_coste,e2_itinerarios_accesibles,e2_itinerarios_accesibles_val,e2_coste,e3_zonas_atencion_publico,e3_zonas_atencion_publico_val,e3_coste,e4_servicios_higienicos,e4_servicios_higienicos_val,e4_coste,e5_elementos_accesibles,e5_elementos_accesibles_val,e5_coste,accesibilidat_total,accesibilidat_total_val,total_coste,nom_mun,nom_mun_cas,nom_mun_cas_a,nom_mun_val,nom_mun_val_a,noms_mun,comarca,provincia,lon,lat
POINT (689572.62866448 4365625.46392194),174,AUDITORIO MUNICIPAL SAN LUIS,"PASEO SAN LUIS,S/N",46077,1970,Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad baja,Accessibilitat baixa,11554.5,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,21785.91,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,19626.6,Accesibilidad baja,Accessibilitat baixa,54092.43,Buñol,Buñol,Buñol,Buñol,Buñol,Buñol,La Hoya de Buñol,València/Valencia,-0.797779,39.419326999999974
POINT (690242.747340097 4365596.6540655),175,OFICINA DE TURISMO. MUSEO ARQUEOLÓGICO,"PLAZA CASTILLO, S/",46077,2004,Equipamiento,Equipament,Cultural,Cultural,BIC,Accesibilidad baja,Accessibilitat baixa,2309.49,Accesibilidad baja,Accessibilitat baixa,2966.04,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,20775.65,Buñol,Buñol,Buñol,Buñol,Buñol,Buñol,La Hoya de Buñol,València/Valencia,-0.7900080000000019,39.41892000000001
POINT (690246.52211994 4365565.64923875),176,IGLESIA DEL SALVADOR. MUSEO ETNOLÓGICO,"CALLE CASTILLO, 21-A",46077,1930,Equipamiento,Equipament,Cultural,Cultural,BIC,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1433.09,Accesibilidad baja,Accessibilitat baixa,1189.61,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,0.0,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,3568.88,Buñol,Buñol,Buñol,Buñol,Buñol,Buñol,La Hoya de Buñol,València/Valencia,-0.7899730000000059,39.41864000000001
POINT (690211.300805693 4365375.31473843),177,SALA MULTIUSOS EL MERCADO,"CALLE EL MOLINO, 29",46077,1950,Equipamiento,Equipament,"Cultural, Social, Recreativo","Cultural, Social, Recreatiu",No,Accesibilidad media,Accessibilitat mitjana,30.0,Accesibilidad baja,Accessibilitat baixa,541.86,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,8810.01,Buñol,Buñol,Buñol,Buñol,Buñol,Buñol,La Hoya de Buñol,València/Valencia,-0.7904360000000022,39.416934000000005
POINT (722560.230703731 4376431.55439024),178,AYUNTAMIENTO,EMILIO CASTELAR 1,46078,1986,Equipamiento,Equipament,"Administrativo, Institucional","Administratiu, Institucional",No,Accesibilidad baja,Accessibilitat baixa,1224.51,Accesibilidad media,Accessibilitat mitjana,90.0,Accesibilidad baja,Accessibilitat baixa,4880.9,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,661.85,Accesibilidad baja,Accessibilitat baixa,14119.23,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.41130500000000103,39.50871499999998
POINT (722631.6025744 4376227.08298874),179,CENTRO SOCIAL LA GRANJA,PINTOR GOYA 6,46078,1968,Equipamiento,Equipament,"Asistencial, Social","Assistencial, Social",No,Accesibilidad baja,Accessibilitat baixa,866.25,Accesibilidad media,Accessibilitat mitjana,217.26,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,9023.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,98.02,Accesibilidad baja,Accessibilitat baixa,11151.65,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.4105439999999993,39.50685599999996
POINT (722181.53789974 4377299.09238744),180,CENTRO SOCIAL VILLA DEL PILAR,V. DESAMPARADOS 64,46078,1995,Equipamiento,Equipament,"Educativo, Social, Otro","Educatiu, Social, Un altre",No,Accesibilidad baja,Accessibilitat baixa,6261.74,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,26588.64,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad media,Accessibilitat mitjana,5285.91,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,39112.47,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.41541599999999895,39.51662199999998
POINT (722262.751577852 4375903.63863954),181,CENTRO SOCIAL TIERNO GALVAN,TIERNO GALVAN 43,46078,1995,Equipamiento,Equipament,"Asistencial, Social, Recreativo","Assistencial, Social, Recreatiu",No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad baja,Accessibilitat baixa,2962.5,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad media,Accessibilitat mitjana,5285.91,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,9373.83,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.4149380000000022,39.504039999999975
POINT (721895.809921611 4377175.01977166),182,CENTRO SOCIAL ISAAC PERAL,ISAAC PERAL 67,46078,2006,Equipamiento,Equipament,"Asistencial, Social","Assistencial, Social",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,3675.47,Accesibilidad media,Accessibilitat mitjana,507.6,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,16285.91,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,21445.16,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.4187779999999988,39.515579000000045
POINT (722392.762015462 4376746.02418329),183,SERVICIOS SOCIALES C/ COLÓN+JUZGADO DE PAZ,COLÓN 40-1º,46078,1945,Equipamiento,Equipament,"Asistencial, Administrativo, Social","Assistencial, Administratiu, Social",No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad baja,Accessibilitat baixa,801.8,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad media,Accessibilitat mitjana,1761.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,3719.19,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.4131459999999949,39.51158899999999
POINT (722186.931059861 4376539.0299701),184,CENTRO SOCIAL CALLE BAILÉN,BAILÉN 17,46078,1970,Equipamiento,Equipament,"Asistencial, Social, Recreativo","Assistencial, Social, Recreatiu",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,369.62,Accesibilidad baja,Accessibilitat baixa,10751.25,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad media,Accessibilitat mitjana,1761.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,13829.02,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.41560699999999917,39.50977900000004
POINT (721717.100488578 4377078.57654509),185,CENTRO SOCIO-EDUCATIVO DIAZ PINTADO,PZA. 9 DE OCTUBRE 6-BIS,46078,2010,Equipamiento,Equipament,"Educativo, Deportivo, Social","Educatiu, Esportiu, Social",No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad media,Accessibilitat mitjana,5285.91,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad media,Accessibilitat mitjana,7883.65,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.42088699999999757,39.51475700000001
POINT (722591.534115558 4377067.05283698),186,EDIFICIO AUSIAS MARCH 62,AUSIAS MARCH Nº 62,46078,0,Equipamiento,Equipament,"Educativo, Cultural, Administrativo, Social","Educatiu, Cultural, Administratiu, Social",No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad media,Accessibilitat mitjana,826.7,Accesibilidad baja,Accessibilitat baixa,1952.36,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,10220.27,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.41072877329658325,39.51442723396743
POINT (722770.430529278 4376426.82721922),187,ESCUELA DE ADULTOS,JOSÉ CARSÍ 10,46078,1930,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,1639.07,Accesibilidad baja,Accessibilitat baixa,9670.6,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,19517.82,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.40886399999999873,39.508617999999984
POINT (722347.074107332 4376865.58161146),188,ESCOLETA INFANTIL C/ ISABEL LACATÓLICA,ISABEL LA CATÓLICA 42,46078,2010,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,23304.92,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,9023.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,33454.28,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.41363700000000336,39.51267699999999
POINT (721843.58782564 4376934.67021455),189,ESCOLETA INFANTIL 613 VIVIENDAS,"CARRETERA LLIRIA S/N (9D'OCTUBRE, 9)",46078,2010,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad media,Accessibilitat mitjana,430.2,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,29047.88,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad baja,Accessibilitat baixa,33022.0,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.4194649999999978,39.513429000000016
POINT (722274.835462978 4376363.80414061),190,COLEGIO PUBLICO MIGUELBORDONAU,LIBERTAD 30,46078,1978,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,2955.95,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,76607.25,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,38071.82,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,118611.2,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.41464400000000295,39.50817899999997
POINT (721698.910789761 4376947.6312502),191,COLEGIO PUBLICO FERNANDO DE LOS RIOS,PZA. 9 DE OCTUBRE 11-1,46078,1979,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,1854.4,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,81583.73,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,50833.79,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,98.02,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,135346.12,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.4211419999999988,39.51358300000002
POINT (722350.442055566 4377122.6396154),192,COLEGIO PUBLICO VILLAR PALASI,MARÍA ROS 13,46078,1978,Equipamiento,Equipament,"Educativo, Otro","Educatiu, Un altre",No,Accesibilidad baja,Accessibilitat baixa,1699.87,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,27541.27,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,47095.76,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,4837.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,82150.08,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.4135119999999981,39.51499000000002
POINT (722813.18184721 4376391.61912866),193,COLEGIO PUBLICO SAN JUAN DE RIBERA,JOSÉ CARRAU 3,46078,1955,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,866.25,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,81969.27,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,36309.85,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,120091.55,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.4083790000000013,39.508290000000024
POINT (723261.067708739 4375957.59389014),194,COLEGIO PUBLICO VIRGENDESAMPARADOS,PLAZA PORTALET 1,46078,1995,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,4234.24,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,31661.52,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,36309.85,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2516.52,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,75698.31,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,Burjassot,l'Horta Nord,València/Valencia,-0.40332000000000406,39.504266999999984
POINT (637317.582902591 4389815.39277444),195,AYUNTAMIENTO,"CALLE HERNÁNDEZ ZAZO, 2",46080,1900,Equipamiento,Equipament,"Cultural, Administrativo, Institucional, Deportivo, Recreativo","Cultural, Administratiu, Institucional, Esportiu, Recreatiu",No,Accesibilidad media,Accessibilitat mitjana,530.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,35188.76,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,3242.2,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,54461.08,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,La Plana de Utiel-Requena,València/Valencia,-1.3995540000000002,39.647113999999995
POINT (637296.884035898 4389748.74076668),196,CONSULTORIO MEDICO,"AVENIDA PURÍSIMA, 10",46080,1986,Vivienda+equipamiento,Habitatge+equipament,Sanitario,Sanitari,No,Accesibilidad media,Accessibilitat mitjana,30.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,23511.62,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,976.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,40000.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,71779.77,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,La Plana de Utiel-Requena,València/Valencia,-1.399809000000002,39.64651699999997
POINT (637370.701042223 4389758.27286075),197,CENTRO SOCIAL,"CALLE HERNÁNDEZ ZAZO, 8",46080,1960,Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,34266.79,Accesibilidad baja,Accessibilitat baixa,2430.8,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,9023.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,4065.9,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,50763.61,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,La Plana de Utiel-Requena,València/Valencia,-1.3989470000000035,39.64659099999999
POINT (637573.434369254 4389892.90299229),198,COLEGIO PÚBLICO MAESTRO AGUILAR,"CALLE ESCUELAS, 12",46080,1970,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,636.19,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,28341.72,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,9023.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,38948.03,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,La Plana de Utiel-Requena,València/Valencia,-1.3965570000000025,39.64777100000001
POINT (637399.031864331 4389854.15028568),199,EDIFICIO UNIÓN MUSICAL MARCHICA,"CALLE UNIÓN MUSICAL MARCHICA,16",46080,1995,Equipamiento,Equipament,Cultural,Cultural,No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1122.66,Accesibilidad baja,Accessibilitat baixa,13625.58,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,976.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,22986.39,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,Camporrobles,La Plana de Utiel-Requena,València/Valencia,-1.3985970000000039,39.64745000000004
POINT (727015.493167345 4306232.8015013),200,CASA CONSISTORIAL,"PLAÇA DE LA CONSTITUCIÓ, 7",46090,1980,Equipamiento,Equipament,"Administrativo, Institucional","Administratiu, Institucional",No,Accesibilidad baja,Accessibilitat baixa,483.37,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,36313.77,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,21785.91,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,59559.23,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,la Vall d'Albaida,València/Valencia,-0.3830940000000019,38.87565200000002
POINT (692437.490001877 4225961.09887768),707,CONSERVATORIO,C/ OSCAR ESPLA,3055,2012,Equipamiento,Equipament,"Educativo, Cultural","Educatiu, Cultural",No,Accesibilidad baja,Accessibilitat baixa,4729.04,Accesibilidad baja,Accessibilitat baixa,9114.89,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,10785.91,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,25606.02,Catral,Catral,Catral,Catral,Catral,Catral,el Baix Segura/La Vega Baja,Alacant/Alicante,-0.8034790000000008,38.16102499999997
POINT (727015.493167345 4306232.8015013),201,AMPLIACIÓ AJUNTAMENT I ARXIUS,"C/ DEL MESÓN, 2",46090,1930,Equipamiento,Equipament,Otro,Altre,No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad baja,Accessibilitat baixa,90.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,0.0,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1215.42,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,la Vall d'Albaida,València/Valencia,-0.3830940000000019,38.87565200000002
POINT (727071.382245954 4306164.31038843),202,CENTRE SOCIAL,"C/ SANT VICENT, 23",46090,1990,Equipamiento,Equipament,"Social, Recreativo","Social, Recreatiu",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1186.54,Accesibilidad media,Accessibilitat mitjana,713.4,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,10108.09,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,la Vall d'Albaida,València/Valencia,-0.3824729999999963,38.875021000000004
POINT (727204.368055791 4306168.90483299),203,ESCOLA INFANTIL MUNICIPAL,"C/ JOAN MARTORELL, 9",46090,1983,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,32922.02,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,22550.01,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,63710.18,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,la Vall d'Albaida,València/Valencia,-0.3809400000000005,38.875028000000015
POINT (727063.148541389 4306472.44583401),204,GRUP ESCOLAR VERGE DEL REMEI,"C/ DE LES ESCOLES, 3",46090,1979,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,2995.8,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,45151.29,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,65357.73,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,116899.5,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,la Vall d'Albaida,València/Valencia,-0.3824660000000052,38.87779700000002
POINT (726682.684848685 4305704.38601689),205,MUSEU DE LA CERÀMICA,"C/ CAMÍ RÀFOL, 39",46090,1999,Equipamiento,Equipament,"Cultural, Otro","Cultural, Un altre",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,401.14,Accesibilidad baja,Accessibilitat baixa,1003.59,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,9612.88,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,Castelló de Rugat,la Vall d'Albaida,València/Valencia,-0.38710099999999686,38.870980999999965
POINT (671564.808282751 4401606.45844477),206,HOGAR DEL JUBILADO,"PZ MAYOR, 346176 CHELVA (VALENCIA)",46106,1980,Equipamiento,Equipament,"Social, Recreativo","Social, Recreatiu",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1170.53,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,32896.22,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,16285.91,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,51298.84,Chelva,Chelva,Chelva,Chelva,Chelva,Chelva,La Serranía,València/Valencia,-0.9975390000000031,39.74710600000004
