WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,uso_edifi,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidat_total,nom_mun,comarca,provincia
POINT (697612.929922193 4217587.80003276),738,3? EDAD                                               ,"C/ FEDERICO GARC?A LORCA, 5                            ",3070,2007,Equipamiento         ,"Social, Recreativo                       ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Formentera del Segur,el Baix Segura/La V,Alacant/Alicante 
POINT (767935.172002266 4296329.97570025),743,"EDIFICI AL C/ DEL DR. GOMEZ FERRER, 44                ","C/ DEL DR. GOMEZ FERRER, 44                            ",3071,1955,Equipamiento         ,"Administrativo, Social                   ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Gata de Gorgos      ,la Marina Alta     ,Alacant/Alicante 
POINT (767912.481149522 4295831.91194802),745,EDIFICI DEL GRUP ESCOLAR SANTISSIM CRIST              ,"C/ DEL GRUP ESCOLAR, 37                                ",3071,1950,Equipamiento         ,"Cultural, Deportivo                      ",Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Gata de Gorgos      ,la Marina Alta     ,Alacant/Alicante 
POINT (743691.553978518 4284713.69423438),747,CASA CONSISTORIAL                                     ,"PLAZA SAN GREGORIO, 1                                  ",3075,1900,Equipamiento         ,Administrativo                           ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,el Castell de Guadal,la Marina Baixa    ,Alacant/Alicante 
POINT (743694.523257644 4284508.36481622),748,CONSULTORIO AUXILIAR                                  ,"AVDA. ALICANTE, 7                                      ",3075,1970,Equipamiento         ,"Sanitario, Asistencial                   ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,el Castell de Guadal,la Marina Baixa    ,Alacant/Alicante 
POINT (743676.54659606 4284726.01160473) ,749,COLEGIO P?BLICO                                       ,"PLAZA SAN GREGORIO, 2                                  ",3075,1970,Equipamiento         ,Educativo                                ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,el Castell de Guadal,la Marina Baixa    ,Alacant/Alicante 
POINT (743555.462029014 4284499.11446468),750,CASA DE CULTURA                                       ,"C/ AIXORT?, 2                                          ",3075,1995,Equipamiento         ,Cultural                                 ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,el Castell de Guadal,la Marina Baixa    ,Alacant/Alicante 
POINT (687311.224239522 4214753.17535182),753,SERVICIOS SOCIALES                                    ,JARDINES DE PALACIO                                    ,3080,1889,Equipamiento         ,"Asistencial, Administrativo              ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Jacarilla           ,el Baix Segura/La V,Alacant/Alicante 
POINT (686891.889045771 4214875.0077016) ,754,CEIP VIRGEN DE BEL?N                                  ,"CALLE VIRGEN DE BEL?N, 12                              ",3080,1982,Equipamiento         ,Educativo                                ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Jacarilla           ,el Baix Segura/La V,Alacant/Alicante 
POINT (687162.526810883 4214775.62906462),756,ASOCIACI?N DE MUJERES                                 ,"CALLE MARQU?S DE FONTALBA, 14                          ",3080,1945,Equipamiento         ,"Cultural, Social                         ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Jacarilla           ,el Baix Segura/La V,Alacant/Alicante 
